id,RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2023-03-31,2023-05-31,2024-02-29,createdAt,updatedAt
56,394619,55,"Fresno, CA",msa,CA,2023-02-28,-0.2,-0.4,-0.1,2023-04-04,2023-04-04
57,753924,56,"Urban Honolulu, HI",msa,HI,2023-02-28,-0.5,-1.1,-3.2,2023-04-04,2023-04-04
58,394938,57,"Omaha, NE",msa,NE,2023-02-28,0.4,0.6,0.6,2023-04-04,2023-04-04
59,395238,58,"Worcester, MA",msa,MA,2023-02-28,0.3,0.2,-0.1,2023-04-04,2023-04-04
60,394415,59,"Bridgeport, CT",msa,CT,2023-02-28,0.4,0.4,-0.8,2023-04-04,2023-04-04
61,394653,60,"Greenville, SC",msa,SC,2023-02-28,0.4,0.7,2,2023-04-04,2023-04-04
62,394312,61,"Albuquerque, NM",msa,NM,2023-02-28,0.3,0.7,2.2,2023-04-04,2023-04-04
63,394357,62,"Bakersfield, CA",msa,CA,2023-02-28,-0.1,-0.2,0.5,2023-04-04,2023-04-04
64,394308,63,"Albany, NY",msa,NY,2023-02-28,0.5,0.5,-0.7,2023-04-04,2023-04-04
65,394753,64,"Knoxville, TN",msa,TN,2023-02-28,0.8,1.3,4.2,2023-04-04,2023-04-04
66,394843,65,"McAllen, TX",msa,TX,2023-02-28,0.1,0.1,1.7,2023-04-04,2023-04-04
67,394367,66,"Baton Rouge, LA",msa,LA,2023-02-28,0.5,-0.1,-3,2023-04-04,2023-04-04
68,753906,67,"North Port, FL",msa,FL,2023-02-28,-0.1,-0.2,2,2023-04-04,2023-04-04
69,394908,68,"New Haven, CT",msa,CT,2023-02-28,0.4,0.2,-0.2,2023-04-04,2023-04-04
70,394486,69,"Columbia, SC",msa,SC,2023-02-28,0.5,0.8,2,2023-04-04,2023-04-04
71,394318,70,"Allentown, PA",msa,PA,2023-02-28,0.5,0.6,1.1,2023-04-04,2023-04-04
72,394561,71,"El Paso, TX",msa,TX,2023-02-28,0.6,0.7,1.4,2023-04-04,2023-04-04
73,394952,72,"Oxnard, CA",msa,CA,2023-02-28,-0.4,-1,-2.6,2023-04-04,2023-04-04
74,394457,73,"Charleston, SC",msa,SC,2023-02-28,0.2,0.2,1,2023-04-04,2023-04-04
75,394440,75,"Cape Coral, FL",msa,FL,2023-02-28,-0.6,-1.5,-0.2,2023-04-04,2023-04-04
76,394648,76,"Greensboro, NC",msa,NC,2023-02-28,1.1,1.5,3,2023-04-04,2023-04-04
77,394399,77,"Boise City, ID",msa,ID,2023-02-28,-0.3,0,2.3,2023-04-04,2023-04-04
78,395134,78,"Stockton, CA",msa,CA,2023-02-28,-0.3,-0.8,-1.4,2023-04-04,2023-04-04
79,394484,79,"Colorado Springs, CO",msa,CO,2023-02-28,-0.3,-0.6,-0.3,2023-04-04,2023-04-04
80,394798,80,"Little Rock, AR",msa,AR,2023-02-28,0.7,0.5,-0.7,2023-04-04,2023-04-04
81,394766,81,"Lakeland, FL",msa,FL,2023-02-28,-0.2,-0.6,1.7,2023-04-04,2023-04-04
82,394531,82,"Des Moines, IA",msa,IA,2023-02-28,0.3,0.2,-0.4,2023-04-04,2023-04-04
83,394304,83,"Akron, OH",msa,OH,2023-02-28,0.2,-0.1,-0.4,2023-04-04,2023-04-04
84,395115,84,"Springfield, MA",msa,MA,2023-02-28,0.2,-0.1,-1.1,2023-04-04,2023-04-04
85,394931,85,"Ogden, UT",msa,UT,2023-02-28,0,-0.1,1.7,2023-04-04,2023-04-04
86,394528,86,"Deltona, FL",msa,FL,2023-02-28,-0.2,-0.5,1.1,2023-04-04,2023-04-04
87,395235,87,"Winston, NC",msa,NC,2023-02-28,0.8,1.5,3.6,2023-04-04,2023-04-04
88,394816,89,"Madison, WI",msa,WI,2023-02-28,0.5,0.6,-0.3,2023-04-04,2023-04-04
89,395006,90,"Provo, UT",msa,UT,2023-02-28,0.1,-0.2,0.9,2023-04-04,2023-04-04
90,394549,91,"Durham, NC",msa,NC,2023-02-28,-0.2,-0.2,1.2,2023-04-04,2023-04-04
91,395143,92,"Syracuse, NY",msa,NY,2023-02-28,0.4,0.5,0.5,2023-04-04,2023-04-04
92,395224,93,"Wichita, KS",msa,KS,2023-02-28,0.9,1.1,2,2023-04-04,2023-04-04
93,395160,94,"Toledo, OH",msa,OH,2023-02-28,0.2,-0.2,-1.2,2023-04-04,2023-04-04
94,394352,95,"Augusta, GA",msa,GA,2023-02-28,0.5,0.8,2.2,2023-04-04,2023-04-04
95,394957,96,"Palm Bay, FL",msa,FL,2023-02-28,-0.2,-0.5,0.7,2023-04-04,2023-04-04
96,394711,97,"Jackson, MS",msa,MS,2023-02-28,0,-0.4,-1.1,2023-04-04,2023-04-04
97,394666,98,"Harrisburg, PA",msa,PA,2023-02-28,0.4,0.3,-0.3,2023-04-04,2023-04-04
98,395113,99,"Spokane, WA",msa,WA,2023-02-28,0.2,0.7,3.3,2023-04-04,2023-04-04
99,394460,100,"Chattanooga, TN",msa,TN,2023-02-28,1.2,1.5,3.3,2023-04-04,2023-04-04
100,395075,101,"Scranton, PA",msa,PA,2023-02-28,1.5,1.8,1.9,2023-04-04,2023-04-04
101,394871,102,"Modesto, CA",msa,CA,2023-02-28,-0.1,-0.5,-1.2,2023-04-04,2023-04-04
102,394590,103,"Fayetteville, AR",msa,AR,2023-02-28,0.5,0.9,3.3,2023-04-04,2023-04-04
103,394770,104,"Lansing, MI",msa,MI,2023-02-28,0.6,0.6,0.2,2023-04-04,2023-04-04
104,394768,105,"Lancaster, PA",msa,PA,2023-02-28,0.4,0.2,-0.1,2023-04-04,2023-04-04
105,394997,106,"Portland, ME",msa,ME,2023-02-28,0.2,0.3,1.8,2023-04-04,2023-04-04
106,395245,107,"Youngstown, OH",msa,OH,2023-02-28,0.4,0.1,1.1,2023-04-04,2023-04-04
107,394589,108,"Fayetteville, NC",msa,NC,2023-02-28,1.1,1.7,3.1,2023-04-04,2023-04-04
108,394792,109,"Lexington, KY",msa,KY,2023-02-28,0.5,0.5,0.7,2023-04-04,2023-04-04
109,394898,110,"Myrtle Beach, SC",msa,SC,2023-02-28,-0.1,-0.1,2.4,2023-04-04,2023-04-04
110,394971,111,"Pensacola, FL",msa,FL,2023-02-28,0.3,0.5,3.1,2023-04-04,2023-04-04
111,394995,112,"Port St. Lucie, FL",msa,FL,2023-02-28,-0.4,-0.9,0.9,2023-04-04,2023-04-04
112,395068,113,"Santa Rosa, CA",msa,CA,2023-02-28,0.1,-0.3,-2.8,2023-04-04,2023-04-04
113,394761,114,"Lafayette, LA",msa,LA,2023-02-28,0.9,-0.1,-4.4,2023-04-04,2023-04-04
114,394698,115,"Huntsville, AL",msa,AL,2023-02-28,0.7,1,3.7,2023-04-04,2023-04-04
115,395019,116,"Reno, NV",msa,NV,2023-02-28,-0.2,-1.1,-1.6,2023-04-04,2023-04-04
116,395116,117,"Springfield, MO",msa,MO,2023-02-28,0.2,0.5,2.8,2023-04-04,2023-04-04
117,395195,118,"Visalia, CA",msa,CA,2023-02-28,-0.2,-0.5,-0.1,2023-04-04,2023-04-04
118,394746,119,"Killeen, TX",msa,TX,2023-02-28,0.2,0.2,2.8,2023-04-04,2023-04-04
119,394338,120,"Asheville, NC",msa,NC,2023-02-28,0.3,0.1,1.3,2023-04-04,2023-04-04
120,395244,121,"York, PA",msa,PA,2023-02-28,0.3,0.2,-0.2,2023-04-04,2023-04-04
121,395183,122,"Vallejo, CA",msa,CA,2023-02-28,-0.3,-0.9,-3,2023-04-04,2023-04-04
122,753917,123,"Santa Maria, CA",msa,CA,2023-02-28,0.3,0.8,1.9,2023-04-04,2023-04-04
123,395048,124,"Salem, OR",msa,OR,2023-02-28,0.1,0,0,2023-04-04,2023-04-04
